cell_ID,Rect_code,Rect_index,n_genes
0,0_0,0,199
1,0_1,1,1546
2,0_2,2,1305
3,0_3,3,1285
7,1_0,7,1774
8,1_1,8,2418
9,1_2,9,2656
10,1_3,10,2710
14,2_0,14,2912
15,2_1,15,2759
16,2_2,16,2891
17,2_3,17,2731
21,3_0,21,2906
22,3_1,22,2944
23,3_2,23,2832
24,3_3,24,2368
28,4_0,28,2780
29,4_1,29,2914
30,4_2,30,2883
31,4_3,31,1161
35,5_0,35,2745
36,5_1,36,2890
37,5_2,37,2777
38,5_3,38,2506
42,6_0,42,2685
43,6_1,43,2802
44,6_2,44,2571
45,6_3,45,1826
49,7_0,49,2843
50,7_1,50,2747
51,7_2,51,2900
52,7_3,52,2561
56,8_0,56,2751
57,8_1,57,2910
58,8_2,58,2880
59,8_3,59,2423
63,9_0,63,2324
64,9_1,64,2977
65,9_2,65,2738
66,9_3,66,2579
70,10_0,70,2957
71,10_1,71,2522
72,10_2,72,2906
73,10_3,73,2155
77,11_0,77,2867
78,11_1,78,2910
79,11_2,79,2941
80,11_3,80,2746
81,11_4,81,1844
82,11_5,82,1295
83,11_6,83,1282
84,12_0,84,2841
85,12_1,85,2936
86,12_2,86,2912
87,12_3,87,2941
88,12_4,88,2871
89,12_5,89,2929
90,12_6,90,2204
91,13_0,91,1934
92,13_1,92,2757
93,13_2,93,2835
94,13_3,94,2855
95,13_4,95,2928
96,13_5,96,2722
97,13_6,97,2449
101,14_3,101,2392
102,14_4,102,2955
103,14_5,103,2845
104,14_6,104,739
109,15_4,109,1135
110,15_5,110,692
